0,room_type,neighborhood,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
poco visitado,Shared room,Eixample,4.5,10,1.0,264.0,41.391617,2.162516
poco visitado,Shared room,Sants-Montjuïc,4.0,12,1.0,129.0,41.373268,2.170138
poco visitado,Shared room,Sants-Montjuïc,4.0,12,1.0,129.0,41.37236,2.1692150000000003
poco visitado,Shared room,Eixample,5.0,2,1.0,72.0,41.391836,2.154014
poco visitado,Shared room,Eixample,5.0,2,1.0,64.0,41.387623,2.148761
moderado,Shared room,Sants-Montjuïc,4.0,16,1.0,45.0,41.378011,2.129361
poco visitado,Shared room,Ciutat Vella,5.0,2,1.0,60.0,41.379429,2.190939
poco visitado,Shared room,Eixample,4.5,8,1.0,289.0,41.392055,2.154293
poco visitado,Shared room,Eixample,4.0,6,1.0,193.0,41.392044,2.153721
poco visitado,Shared room,Sant Martí,4.5,2,1.0,133.0,41.407673,2.202132
poco visitado,Shared room,Eixample,4.0,4,1.0,144.0,41.393532,2.152668
poco visitado,Shared room,Sants-Montjuïc,4.0,4,1.0,114.0,41.372717,2.169144
poco visitado,Shared room,Sants-Montjuïc,4.0,6,1.0,114.0,41.372255,2.168686
poco visitado,Shared room,Sants-Montjuïc,4.0,6,1.0,114.0,41.373335,2.170512
poco visitado,Shared room,Eixample,4.0,4,1.0,84.0,41.409357,2.176395
poco visitado,Shared room,Eixample,5.0,1,1.0,100.0,41.387109,2.170089
poco visitado,Shared room,Sants-Montjuïc,3.5,16,1.0,66.0,41.373472,2.170715
poco visitado,Shared room,Les Corts,4.0,3,1.0,66.0,41.382368,2.1259
moderado,Shared room,Ciutat Vella,4.5,2,1.0,55.0,41.378853,2.178555
poco visitado,Shared room,Sants-Montjuïc,4.0,10,1.0,61.0,41.372971,2.168543
poco visitado,Shared room,Ciutat Vella,4.0,2,1.0,61.0,41.380556,2.189145
poco visitado,Shared room,Sant Martí,5.0,2,1.0,47.0,41.398724,2.204138
poco visitado,Shared room,Eixample,4.5,1,1.0,61.0,41.401406,2.181331
poco visitado,Shared room,Ciutat Vella,4.5,1,1.0,55.0,41.387717,2.180169
poco visitado,Shared room,Horta-Guinardó,4.5,2,1.0,58.0,41.412276,2.16454
poco visitado,Shared room,Eixample,5.0,2,1.0,57.0,41.390393,2.155961
poco visitado,Shared room,Nou Barris,4.5,4,1.0,29.0,41.44236,2.175385
poco visitado,Shared room,Horta-Guinardó,4.5,1,1.0,12.0,41.410664,2.170341
poco visitado,Shared room,Horta-Guinardó,1.5,1,1.0,19.0,41.420853,2.159937
poco visitado,Shared room,Horta-Guinardó,1.0,1,1.0,26.0,41.420144,2.159807
poco visitado,Shared room,Eixample,4.5,8,1.0,28.0,41.393117,2.154236
poco visitado,Shared room,Gràcia,4.5,3,1.0,35.0,41.411579,2.157052
poco visitado,Shared room,Horta-Guinardó,3.0,1,1.0,20.0,41.41968,2.158478
poco visitado,Shared room,Eixample,4.5,4,1.0,33.0,41.392836,2.152753
poco visitado,Shared room,Eixample,4.5,6,1.0,29.0,41.391153,2.15437
poco visitado,Shared room,Sants-Montjuïc,1.0,1,1.0,41.0,41.366913,2.134941
poco visitado,Shared room,Gràcia,4.5,1,1.0,24.0,41.398817,2.158036
poco visitado,Shared room,Gràcia,4.5,6,1.0,31.0,41.412927,2.15628
moderado,Shared room,Gràcia,4.5,1,1.0,24.0,41.39898400000001,2.157648
moderado,Shared room,Sant Martí,4.0,1,1.0,27.0,41.410343,2.194944
moderado,Shared room,Eixample,4.5,4,1.0,33.0,41.392007,2.154837
moderado,Shared room,Gràcia,4.5,1,1.0,24.0,41.398191,2.156548
poco visitado,Shared room,Les Corts,4.0,4,1.0,30.0,41.377614,2.123367
poco visitado,Shared room,Sarrià-Sant Gervasi,5.0,1,1.0,19.0,41.4003,2.149324
poco visitado,Shared room,Horta-Guinardó,2.0,2,1.0,20.0,41.421201,2.157868
poco visitado,Shared room,Sant Martí,5.0,1,1.0,30.0,41.39157700000001,2.18472
poco visitado,Shared room,Sants-Montjuïc,4.5,2,1.0,30.0,41.373585,2.143214
poco visitado,Shared room,Horta-Guinardó,3.5,2,1.0,26.0,41.413014,2.174975
moderado,Shared room,Sant Martí,4.5,1,1.0,27.0,41.410155,2.195195
muy visitado,Shared room,Gràcia,4.5,1,1.0,24.0,41.399344,2.157804
poco visitado,Shared room,Gràcia,4.5,1,1.0,36.0,41.413451,2.155535
poco visitado,Shared room,Sants-Montjuïc,5.0,1,1.0,28.0,41.37539,2.14661
poco visitado,Shared room,Sant Andreu,4.0,4,1.0,19.0,41.434184,2.2069400000000003
poco visitado,Shared room,Eixample,4.5,6,1.0,29.0,41.393219,2.153144
poco visitado,Shared room,Sants-Montjuïc,4.5,6,1.0,26.0,41.375855,2.134314
poco visitado,Shared room,Sarrià-Sant Gervasi,5.0,1,1.0,27.0,41.411149,2.142038
poco visitado,Shared room,Eixample,4.5,2,1.0,19.0,41.387078,2.151224
poco visitado,Shared room,Sants-Montjuïc,5.0,5,1.0,38.0,41.373056,2.141656
muy visitado,Shared room,Gràcia,4.5,1,1.0,24.0,41.397185,2.157227
poco visitado,Shared room,Nou Barris,5.0,1,1.0,12.0,41.446535,2.183076
poco visitado,Shared room,Sant Martí,4.5,1,1.0,27.0,41.411884,2.193263
poco visitado,Shared room,Eixample,4.5,6,1.0,29.0,41.39174600000001,2.153137
poco visitado,Shared room,Les Corts,4.0,3,1.0,24.0,41.37741,2.123894
poco visitado,Shared room,Gràcia,5.0,2,1.0,35.0,41.412627,2.157127
poco visitado,Shared room,Ciutat Vella,4.5,2,1.0,19.0,41.37990300000001,2.174608
poco visitado,Shared room,Sants-Montjuïc,5.0,1,1.0,34.0,41.373491,2.165997
poco visitado,Shared room,Gràcia,5.0,2,1.0,40.0,41.411146,2.151269
poco visitado,Shared room,Eixample,4.0,2,1.0,35.0,41.37838,2.153454
poco visitado,Shared room,Sant Martí,4.0,1,1.0,34.0,41.392025,2.183365
poco visitado,Shared room,Horta-Guinardó,5.0,2,1.0,30.0,41.412413,2.175192
poco visitado,Shared room,Sarrià-Sant Gervasi,4.0,1,1.0,12.0,41.399271,2.150103
moderado,Shared room,Sants-Montjuïc,4.0,4,1.0,30.0,41.37073,2.142726
poco visitado,Shared room,Sant Martí,4.5,1,1.0,30.0,41.390398,2.184708
poco visitado,Shared room,Eixample,4.5,1,1.0,24.0,41.381919,2.157783
poco visitado,Shared room,Eixample,4.5,1,1.0,31.0,41.409749,2.175048
poco visitado,Shared room,Eixample,4.5,4,1.0,30.0,41.391296,2.1532720000000003
poco visitado,Shared room,Sant Martí,4.5,1,1.0,20.0,41.415192,2.217503
moderado,Shared room,Sant Martí,4.5,1,1.0,12.0,41.412159,2.194745
moderado,Shared room,Eixample,4.5,4,1.0,24.0,41.38186500000001,2.15279
moderado,Shared room,Eixample,4.5,1,1.0,20.0,41.393369,2.173332
moderado,Shared room,Gràcia,5.0,2,1.0,24.0,41.40015,2.158267
poco visitado,Shared room,Gràcia,4.5,3,1.0,30.0,41.411494,2.1561220000000003
moderado,Shared room,Gràcia,4.5,1,1.0,22.0,41.397824,2.156858
poco visitado,Entire home/apt,Gràcia,4.5,10,4.0,138.0,41.410408,2.146691
poco visitado,Entire home/apt,Ciutat Vella,4.5,5,2.0,104.0,41.38038,2.172911
poco visitado,Entire home/apt,Eixample,4.5,9,4.0,543.0,41.388688,2.151436
poco visitado,Entire home/apt,Eixample,5.0,10,4.0,622.0,41.389288,2.170331
poco visitado,Entire home/apt,Horta-Guinardó,4.5,4,2.0,163.0,41.418284,2.177153
poco visitado,Entire home/apt,Eixample,4.0,6,2.0,48.0,41.376856,2.160617
poco visitado,Entire home/apt,Sants-Montjuïc,4.0,6,3.0,61.0,41.358931,2.137068
poco visitado,Entire home/apt,Horta-Guinardó,3.5,9,4.0,634.0,41.41531,2.165004
poco visitado,Entire home/apt,Eixample,4.5,6,3.0,288.0,41.403209,2.176293
poco visitado,Entire home/apt,Sant Martí,4.5,6,2.0,231.0,41.413416,2.220952
poco visitado,Entire home/apt,Eixample,5.0,4,2.0,302.0,41.38695,2.159367
poco visitado,Entire home/apt,Eixample,4.5,4,2.0,239.0,41.388445,2.171238
poco visitado,Entire home/apt,Ciutat Vella,4.5,4,2.0,204.0,41.383348,2.1695830000000003
poco visitado,Entire home/apt,Ciutat Vella,4.5,8,0.0,205.0,41.383129,2.179615
moderado,Entire home/apt,Ciutat Vella,4.5,5,3.0,150.0,41.381054,2.179579
poco visitado,Entire home/apt,Ciutat Vella,4.5,4,2.0,176.0,41.381386,2.172366
poco visitado,Entire home/apt,Sant Martí,4.0,10,4.0,181.0,41.409585,2.2082200000000003
poco visitado,Entire home/apt,Sants-Montjuïc,5.0,4,1.0,157.0,41.379395,2.138738
poco visitado,Entire home/apt,Eixample,5.0,5,2.0,178.0,41.383329,2.162553
poco visitado,Entire home/apt,Eixample,4.0,3,1.0,169.0,41.37935,2.153731
poco visitado,Entire home/apt,Eixample,4.5,2,0.0,176.0,41.38827,2.171107
poco visitado,Entire home/apt,Sant Martí,3.5,10,4.0,157.0,41.410777,2.2145900000000003
poco visitado,Entire home/apt,Sant Martí,4.0,4,2.0,168.0,41.410821,2.18377
muy visitado,Entire home/apt,Ciutat Vella,5.0,3,1.0,157.0,41.384041,2.179051
poco visitado,Entire home/apt,Ciutat Vella,4.0,4,2.0,167.0,41.375324,2.187892
poco visitado,Entire home/apt,Sant Martí,4.5,5,3.0,169.0,41.413344,2.21455
muy visitado,Entire home/apt,Ciutat Vella,5.0,2,1.0,181.0,41.38584,2.181856
poco visitado,Entire home/apt,Sants-Montjuïc,5.0,2,1.0,169.0,41.374281,2.1624790000000003
moderado,Entire home/apt,Eixample,4.5,2,1.0,157.0,41.391073,2.156302
poco visitado,Entire home/apt,Ciutat Vella,4.0,4,1.0,168.0,41.379034,2.167116
poco visitado,Entire home/apt,Ciutat Vella,5.0,3,0.0,163.0,41.386052,2.1773830000000003
poco visitado,Entire home/apt,Gràcia,4.0,5,2.0,174.0,41.403544,2.151817
poco visitado,Entire home/apt,Eixample,5.0,3,1.0,156.0,41.387158,2.160347
poco visitado,Entire home/apt,Eixample,4.5,4,2.0,156.0,41.395818,2.157205
muy visitado,Entire home/apt,Eixample,4.5,4,1.0,163.0,41.3837,2.161324
poco visitado,Entire home/apt,Gràcia,4.5,5,2.0,129.0,41.408023,2.148216
poco visitado,Entire home/apt,Eixample,4.5,4,2.0,144.0,41.40054,2.170466
poco visitado,Entire home/apt,Eixample,5.0,4,1.0,144.0,41.384407,2.161755
poco visitado,Entire home/apt,Ciutat Vella,4.0,4,2.0,144.0,41.383177,2.182595
poco visitado,Entire home/apt,Ciutat Vella,4.5,3,1.0,134.0,41.383144,2.180561
poco visitado,Entire home/apt,Ciutat Vella,5.0,4,2.0,144.0,41.379395,2.175651
poco visitado,Entire home/apt,Ciutat Vella,4.5,6,3.0,144.0,41.381494,2.174271
poco visitado,Entire home/apt,Ciutat Vella,4.0,4,2.0,144.0,41.384127,2.18558
poco visitado,Entire home/apt,Ciutat Vella,3.5,6,2.0,132.0,41.38529000000001,2.183684
poco visitado,Entire home/apt,Sants-Montjuïc,5.0,3,2.0,127.0,41.375446,2.122979
poco visitado,Entire home/apt,Sants-Montjuïc,5.0,2,1.0,129.0,41.373768,2.148742
poco visitado,Entire home/apt,Gràcia,4.5,2,1.0,132.0,41.400016,2.162874
poco visitado,Entire home/apt,Eixample,4.5,5,3.0,134.0,41.382311,2.1500220000000003
poco visitado,Entire home/apt,Eixample,4.5,3,1.0,133.0,41.395298,2.158071
poco visitado,Entire home/apt,Ciutat Vella,3.0,4,0.0,133.0,41.381444,2.165871
moderado,Entire home/apt,Ciutat Vella,4.0,3,0.0,144.0,41.386751,2.178667
